Date,IPO Name,"Issue Size 						  (in crores)",QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,"Listing  						  Gains(%)",CMP,"Current 						  Gains (%)"
12-04-2012,MT Educare,99,6.01,8,2.17,4.8,80,86.05,90.35,12.94,9.75,-87.81
12-04-2012,NBCC (India),127.2,7.07,1.7,3.4,4.93,106,100,6.47,-93.9,51.45,-51.46
28-03-2012,Olympic Cards,25,0,3.43,1.36,0.99,30,29.95,28.5,-5,2.79,-90.7
09-03-2012,MCX India,663.31,49.12,150.35,24.14,54.13,1032,1387,1297.05,25.68,"1,599.65",55
02-11-2011,Indo Thai Secu,33.6,0,0.02,3.31,1.16,74,76,23,-68.92,71,-4.05
24-10-2011,Vaswani Ind,49,0.16,11.29,6.82,4.16,49,33.45,17.75,-63.78,13.63,-72.18
20-10-2011,Ujaas Energy,93,1.03,1.56,2.35,1.57,186,180,31.76,-82.92,2.99,-98.39
19-10-2011,Flexituff Ventu,104.63,0.51,1.55,1.55,1.03,155,155,166.4,7.35,21.35,-86.23
19-10-2011,Taksheel Solut,82.5,0.24,4.7,6.18,2.99,150,157.4,58.15,-61.23,3.85,-97.43
17-10-2011,Onelife Capital,36.85,1.02,0.93,2.32,1.51,110,115,145.9,32.64,12.11,-88.99
04-10-2011,Setubandhan Inf,60,0.31,2.76,4.68,2.21,138,145,22.95,-83.37,1.46,-98.94
26-09-2011,PG Electroplast,120.65,0.98,1.84,1.64,1.34,210,200,411.65,96.02,377.8,79.9
16-09-2011,SRS,227.5,0.74,5,0.29,1.22,58,55,16.83,-70.98,0.19,-99.67
08-09-2011,TD Power System,227,6.52,0.32,0.36,2.72,256,251.6,274.8,7.34,193.1,-24.57
05-09-2011,Brooks Labs,63,0,2.82,3.36,1.6,100,110,50.2,-49.8,88.5,-11.5
26-08-2011,Tree House,112.06,1.02,1.68,2.76,1.85,135,132.8,116.55,-13.67,11.06,-91.81
12-08-2011,L&T Finance,1245,1.93,6.18,9.61,5.34,52,53.85,46.46,-10.65,88.3,69.81
04-08-2011,Inventure Grow,81.9,0.25,9.49,8.66,4.58,117,119,5.2,-95.56,3.53,-96.98
28-07-2011,Bharatiya Glob,55.1,0,1.94,5.06,2.06,82,84,30.95,-62.26,1.78,-97.83
13-07-2011,Kridhan Infra,34.75,0.03,1.37,4.18,1.68,108,115,13.29,-87.69,5.29,-95.1
07-07-2011,Birla Pacific,65.18,1.04,0.17,1.82,1.18,10,10.1,25.35,153.5,0.28,-97.2
07-07-2011,Rushil Decor,40.64,0.23,1.35,6.57,2.62,72,81.25,104.49,45.12,290.1,302.92
22-06-2011,Timbor Home,23.25,0.65,3.22,14.22,5.78,63,72,91.2,44.76,2.21,-96.49
14-06-2011,VMS Industries,25.75,0,1.11,3.41,1.36,40,43.95,28.5,-28.75,16.21,-59.48
